,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,WUPSame,,,,,,,
,,,,,,,,,,,,
,,,,Result in terms of measure ------------>,ndcg_cut_5,p_5,p_10,recip_rank,ndcg,map,bpref,rprec
,,,,,,,,,,,,
,,,,Measure to tune downwards (V),,,,,,,,
,,,,recall_30,0.2894,0.431,0.4379,0.6212,0.669,0.4464,0.4684,0.3994
,,,,,,,,,,,,
,,,,,0.3091,0.469,0.4534,0.6599,0.6694,0.4464,0.4684,0.3994
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,WUPUniq,,,,,,,
,,,,,,,,,,,,
,,,,Result in terms of measure ------------>,ndcg_cut_5,p_5,p_10,recip_rank,ndcg,map,bpref,rprec
,,,,,,,,,,,,
,,,,Measure to tune downwards (V),,,,,,,,
,,,,ndcg_cut_5,0.2678,0.4172,0.4086,0.5697,0.654,0.4231,0.4379,0.3728
,,,,ndcg_cut_10,0.34,0.5,0.4828,0.6886,0.6819,0.4519,0.4606,0.3988
,,,,ndcg_cut_15,0.2947,0.4448,0.4448,0.5999,0.6665,0.4401,0.4546,0.3882
,,,,ndcg_cut_20,0.3014,0.4414,0.4276,0.6188,0.6717,0.4455,0.4668,0.4036
,,,,ndcg_cut_30,0.2901,0.4241,0.4224,0.6106,0.6665,0.4382,0.4541,0.3976
,,,,ndcg,0.2926,0.4379,0.431,0.6186,0.6666,0.4379,0.4502,0.3916
,,,,P_5,0.274,0.4241,0.4172,0.6135,0.6576,0.4262,0.4361,0.3713
,,,,P_10,0.3066,0.4448,0.4276,0.6421,0.6669,0.4335,0.4474,0.3784
,,,,P_15,0.3376,0.4759,0.4172,0.6311,0.6728,0.4446,0.4512,0.3939
,,,,P_20,0.2825,0.4103,0.4069,0.5929,0.6626,0.4383,0.4674,0.4025
,,,,P_30,0.221,0.3414,0.3466,0.5032,0.6322,0.4006,0.4275,0.3667
,,,,map,0.2986,0.4483,0.4362,0.6077,0.6655,0.4392,0.4526,0.3879
,,,,recip_rank,0.2386,0.3621,0.3517,0.5512,0.6364,0.3971,0.4128,0.3639
,,,,map_cut_5,0.282,0.431,0.4172,0.6151,0.6581,0.4248,0.4337,0.3696
,,,,map_cut_10,0.3133,0.4724,0.4379,0.6404,0.666,0.4349,0.4462,0.3793
,,,,map_cut_15,0.3155,0.4759,0.431,0.6238,0.6692,0.4436,0.453,0.388
,,,,map_cut_20,0.3038,0.4483,0.4276,0.6102,0.6663,0.4388,0.4506,0.3889
,,,,map_cut_30,0.2951,0.4345,0.4328,0.6025,0.6671,0.4411,0.4587,0.395
,,,,Rprec,0.2926,0.4172,0.4259,0.6052,0.6717,0.448,0.467,0.4109
,,,,bpref,0.2763,0.4,0.3724,0.5358,0.6577,0.4251,0.4668,0.3854
,,,,recall_5,0.274,0.4241,0.4172,0.6135,0.6576,0.4262,0.4361,0.3713
,,,,recall_10,0.3066,0.4448,0.4276,0.6421,0.6669,0.4335,0.4474,0.3784
,,,,recall_15,0.3376,0.4759,0.4172,0.6311,0.6728,0.4446,0.4512,0.3939
,,,,recall_20,0.2825,0.4103,0.4069,0.5929,0.6626,0.4383,0.4674,0.4025
,,,,recall_30,0.221,0.3414,0.3466,0.5032,0.6322,0.4006,0.4275,0.3667
,,,,,,,,,,,,
